source,target
/,/
/,/sign-in
/,/sign-up
/dashboard/ads/accounts,/dashboard
/dashboard/ads/accounts,/dashboard/ads
/dashboard/ads/accounts,/dashboard/ads/accounts
/dashboard/ads/accounts,/dashboard/ads/create
/dashboard/ads/accounts,/dashboard/analytics
/dashboard/ads/accounts,/dashboard/automations
/dashboard/ads/accounts,/dashboard/brand
/dashboard/ads/accounts,/dashboard/brand/strategy
/dashboard/ads/accounts,/dashboard/brand/voice
/dashboard/ads/accounts,/dashboard/calendar
/dashboard/ads/accounts,/dashboard/content
/dashboard/ads/accounts,/dashboard/content/approval
/dashboard/ads/accounts,/dashboard/content/generate
/dashboard/ads/accounts,/dashboard/content/published
/dashboard/ads/accounts,/dashboard/context
/dashboard/ads/accounts,/dashboard/leads
/dashboard/ads/accounts,/dashboard/settings
/dashboard/ads/accounts,/dashboard/settings/publishing
/dashboard/ads/accounts,/dashboard/social
/dashboard/ads/accounts,/dashboard/social/accounts
/dashboard/ads/accounts,/dashboard/social/settings
/dashboard/ads/accounts,/dashboard/social/suggestions
/dashboard/ads/accounts,/dashboard/test
/dashboard/ads/accounts,/dashboard/voice
/dashboard/ads/accounts,/dashboard/voice/calls
/dashboard/ads/accounts,/dashboard/voice/numbers
/dashboard/ads/accounts,/help
/dashboard/ads/create,/dashboard
/dashboard/ads/create,/dashboard/ads
/dashboard/ads/create,/dashboard/ads/accounts
/dashboard/ads/create,/dashboard/ads/create
/dashboard/ads/create,/dashboard/analytics
/dashboard/ads/create,/dashboard/automations
/dashboard/ads/create,/dashboard/brand
/dashboard/ads/create,/dashboard/brand/strategy
/dashboard/ads/create,/dashboard/brand/voice
/dashboard/ads/create,/dashboard/calendar
/dashboard/ads/create,/dashboard/content
/dashboard/ads/create,/dashboard/content/approval
/dashboard/ads/create,/dashboard/content/generate
/dashboard/ads/create,/dashboard/content/published
/dashboard/ads/create,/dashboard/context
/dashboard/ads/create,/dashboard/leads
/dashboard/ads/create,/dashboard/settings
/dashboard/ads/create,/dashboard/settings/publishing
/dashboard/ads/create,/dashboard/social
/dashboard/ads/create,/dashboard/social/accounts
/dashboard/ads/create,/dashboard/social/settings
